spotid	userid	type
1135134	226871	Live Music
922736	226871	Wedding Day
1663722	226871	Engaged
1663722	226871	Pizza
1663722	226871	Watering Hole
6532731	31508	Guilty Pleasure
6491749	66595	Kid Friendly
766206	20859	Scenic at Night
3117851	2182845	Wedding Day
556028	39459	Double Rainbow
641395	2191512	Best Cup
353884	2286085	Pizza
174347	2149357	My Personal Hell
7496932	2149357	Pizza
7261803	2467399	Double Rainbow
396068	285508	Pizza
1127387	2149357	Pizza
1127387	2165773	Pizza
1127387	73966	Pizza
1801787	135580	Pizza
972794	42051	Take My Breath Away
16623	2563767	Take My Breath Away
1273332	42051	Scenic at Night
1162027	42051	Steak
559680	42051	Pizza
496330	42051	OMG
74881	390135	Guilty Pleasure
1464492	128971	Watering Hole
573833	961334	Third Place
573833	29810	Tourist Trap
903066	42051	People Watching
265870	42051	Pizza
265870	2275653	Pizza
265870	15582	Pizza
265870	2117784	Pizza
265870	276641	Pizza
265870	115418	Pizza
265870	22844	Pizza
1131060	42051	FTW
668562	276641	Best Cup
13752	42051	Kid Friendly
1331662	42051	Sandwiches
1578571	276641	Date Night
1578571	276641	Scenic at Night
916608	42051	Burgers
420216	42051	Steak
987956	42051	Take My Breath Away
760449	42051	OMG
54173	2559300	GTD
7229530	42051	My Happy Place
992526	42051	My Happy Place
6884069	42051	My Happy Place
1327591	85319	Guilty Pleasure
1331420	42051	My Happy Place
7328243	2418190	Kid Friendly
7328243	2418190	My Happy Place
472839	2116802	Alma Mater
1707326	192071	Live Music
448518	221448	BBQ
6690447	2418190	Guilty Pleasure
896449	192071	Alma Mater
293430	285141	My Happy Place
1061003	2114815	Pizza
1061003	373082	Pizza
1061003	923500	Pizza
3139439	373082	BBQ
24963	61176	Sandwiches
24963	66413	Celebrity Sighting
24963	100506	My Personal Hell
24963	2164019	My Personal Hell
24963	1453214	My Personal Hell
24963	2635991	LOL
24963	132774	My Personal Hell
24963	2065691	LOL
24963	379234	WTF
24963	200463	GTD
24963	5646	WTF
24963	94136	People Watching
24963	17970	Celebrity Sighting
24963	936504	Kid Friendly
416407	384679	Free Wifi
546957	2209698	Steak
100459	42051	GTD
617632	42051	Burgers
68235	42051	Take My Breath Away
1038886	2550391	Sketchy
187723	42051	Burgers
1128459	42051	FTW
215046	42051	Double Rainbow
784174	73966	Tacos
75017	42051	Tacos
6679162	42051	Beer
65864	42051	Burgers
62172	2286085	Historical Record
65871	42051	Steak
11975	474166	Picturesque
11975	155504	People Watching
11975	1502383	Picturesque
11975	239814	Picturesque
11975	2280247	Take My Breath Away
11975	2306413	Tourist Trap
11975	8768	Best Kept Secret
11975	2221364	Scenic at Night
11975	2015729	Take My Breath Away
11975	874071	Engaged
11975	102189	Take My Breath Away
11975	288992	Tourist Trap
11975	1297008	Tourist Trap
11975	246486	Scenic at Night
131618	2216104	Pizza
74383	42051	Drinks
47995	2159336	Pizza
47995	121790	Pizza
47995	237289	Pizza
57896	303900	Best Kept Secret
802015	42051	Beer
212706	42051	Best Cup
1064536	101582	Best Cup
570479	42051	Pizza
149909	42051	OMG
521413	42051	Best Cup
65920	42051	Beer
149728	42051	Steak
557094	42051	Watering Hole
557094	42051	Beer
827398	303900	Best Cup
1258739	29810	Double Rainbow
533323	42051	Kid Friendly
135376	42051	My Happy Place
142658	42051	OMG
1446346	42051	Burgers
237058	42051	Best Cup
7397609	42051	Beer
712272	42051	Wine
1441031	101582	Date Night
188379	42051	Beer
241762	42051	Beer
548309	42051	Steak
154510	42051	Wine
99130	42051	Steak
6437242	42051	Free Wifi
316311	42051	Burgers
202477	42051	Beer
89725	354562	Guilty Pleasure
155107	42051	Open Late
235550	42051	Sandwiches
91188	29508	Best Cup
51266	115320	Drinks
51266	42051	Drinks
51266	2244575	Drinks
763980	42051	Wine
663259	42051	Kid Friendly
378025	42051	Vegetarian
117117	15309	Date Night
1231635	283034	My Happy Place
296158	42051	Best Cup
3929807	1285227	Pizza
174374	42051	My Happy Place
12006	6716	Tourist Trap
170634	42051	Vegetarian
1322083	42051	Best Cup
7094082	42051	OMG
12010	2165924	Take My Breath Away
12010	2723	Take My Breath Away
3930581	42051	Vegetarian
228498	42051	Best Cup
7457702	400573	Kid Friendly
6540125	209790	Best Cup
930772	42051	Steak
197431	2348582	Beer
197431	42051	Beer
1080610	42051	Live Music
1499002	338181	Best Kept Secret
